,ID,Behörde/Abteilung,Bezeichnung,Besoldung,Entgelt,PLZ,Ort,Entfernung,Eingestellt,Frist
88,1017148,Bundesamt für Bauwesen und Raumordnung,Sachbearbeitungen (w/m/d) für den Haushalt des Baubereichs (358-23),A9g,TVöD-Bund E 9c,10623,Berlin,,01.09.2023,24.09.2023
89,1017130,Saarpfalz-Kreis,sozialpädagogische bzw. sozialarbeiterische Fachkraft (w/m/d),,TVöD-SuE S 12,66424,Homburg,,01.09.2023,01.10.2023
90,1017439,Regierung von Oberbayern,IT-Allrounderin oder IT-Allrounder (m/w/d) (für Beamte),,TV-L E 10,80538,München,,01.09.2023,17.09.2023
91,1017438,Regierung von Oberbayern,IT-Allrounderin oder IT-Allrounder (m/w/d) (für Tarifbeschäftigte),,TV-L E 8 - TV-L E 10,80538,München,,01.09.2023,17.09.2023
92,1017435,Stadt Neustadt am Rübenberge,"Schulsachbearbeitung (m/w/d), Leine-Schule, EG 6 TVöD",,TVöD-VKA E 6,31535,Neustadt am Rübenberge,,01.09.2023,17.09.2023
93,1017434,Bundespolizeiakademie,Fachlageristin/Fachlagerist (m/w/d) - Waffenkammer,,TVöD-Bund E 5,23562,Lübeck,,01.09.2023,17.09.2023
94,1017433,"Sächsisches Landesamt für Umwelt, Landwirtschaft und Geologie",Sachbearbeiter (m/w/d) für Ausgleichs- und Direktzahlungen,,TV-L E 10,04720,Döbeln,,01.09.2023,18.09.2023
95,1017432,Regionale Landesämter für Schule und Bildung,"Sozialpädagogin/Sozialpädagoge, Kindheitspädagogin/Kindheitspädagoge",,TV-L E 10 - TV-L E 12,30539,Hannover,,01.09.2023,29.09.2023
96,1017431,Stadt Neustadt am Rübenberge,"Schulsachbearbeitung (m/w/d), Michael Ende Schule, EG 6 TVöD",,TVöD-VKA E 6,31535,Neustadt am Rübenberge,,01.09.2023,17.09.2023
97,1017430,Landesamt für Vermessung und Geoinformation Schleswig-Holstein,Auszubildende/-r in dem Ausbildungsberuf Fachinformatiker/-in (m/w/d) in Kiel,,,24106,Kiel,,01.09.2023,16.10.2023
98,1017428,Bundespolizeiakademie,"Beschäftigte/Beschäftigter (m/w/d) - Materialwirtschaft, Beschaffung, Belegerfassung",,TVöD-Bund E 6,23562,Lübeck,,01.09.2023,24.09.2023
99,1017427,Polizeipräsidium Münster,Sachbearbeiter/in (m/w/d) für den Bereich der Online Sachfahndung,,TV-L E 11,48147,Münster,,01.09.2023,22.09.2023
